"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"flowRateCapacity","flowRateCapacity","LRMl Editor - ",2023-03-01 08:50:08.568143000,"NZ_NZBC-G12AS1#3.12","flow rate capacity",2314,
"pressureRating","pressureRating","LRMl Editor - ",2023-03-01 09:02:37.035933000,"NZ_NZBC-G12AS1#3.12","pressure rating",2317,
"energySource","energySource","LRMl Editor - ",2023-03-01 09:08:41.123273000,"NZ_NZBC-G12AS1#3.12","energy source",2318,
"energyRating","energyRating","LRMl Editor - ",2023-03-01 09:09:03.235267000,"NZ_NZBC-G12AS1#3.12","energy rating",2319,
"temperaturePressureReliefValve","temperaturePressureReliefValve","LRMl Editor - ",2023-03-01 09:09:03.359025000,"NZ_NZBC-G12AS1#3.12","temperature pressure relief valve",2320,
"pressureReliefValve","pressureReliefValve","LRMl Editor - ",2023-03-01 19:56:38.540760000,"NZ_NZBC-G12AS1#3.12","pressure relief valve",2321,
"compatibility","compatibility","LRMl Editor - Stefan",2023-03-01 20:25:39.236065000,"NZ_NZBC-G12AS1#3.12","compatibility",2322,
"element","element","LRMl Editor - Stefan",2023-03-01 20:31:45.180411000,"NZ_NZBC-G12AS1#3.12","element",2323,
"wrapping","wrapping","LRMl Editor - Stefan",2023-03-01 20:37:19.859948000,"NZ_NZBC-G12AS1#3.12","wrapping",2324,
"solarWaterHeater","solarWaterHeater","LRMl Editor - Stefan",2023-03-01 20:45:39.361295000,"NZ_NZBC-G12AS2#3.12","solar water heater",2325,
"solarCollector","solarCollector","LRMl Editor - Stefan",2023-03-01 21:10:09.641531000,"NZ_NZBC-G12AS2#3.12","solar collector",2326,
"weight","weight","LRMl Editor - Stefan",2023-03-01 21:10:43.144675000,"NZ_NZBC-G12AS2#3.12","weight",2328,
"combinedWeight","combinedWeight","LRMl Editor - Stefan",2023-03-01 21:11:40.838268000,"NZ_NZBC-G12AS2#3.12","combined weight",2330,
"heatTransferFluid","heatTransferFluid","LRMl Editor - Stefan",2023-03-01 21:12:09.435358000,"NZ_NZBC-G12AS2#3.12","heat transfer fluid",2332,
"suitability","suitability","LRMl Editor - Stefan",2023-03-01 21:48:08.580251000,"NZ_NZBC-G12AS2#3.12","suitability",2334,
"galvanisedRoofing","galvanisedRoofing","LRMl Editor - Stefan",2023-03-01 22:14:06.326077000,"NZ_NZBC-G12AS2#3.12","galvanised roofing",2336,
"grossArea","grossArea","LRMl Editor - Stefan",2023-03-01 23:06:34.913413000,"NZ_NZBC-G12AS2#3.12","gross area",2338,
"safetyDevice","safetyDevice","LRMl Editor - Stefan",2023-03-01 23:16:08.812319000,"NZ_NZBC-G12AS2#3.12","safety device",2340,
"outlet","outlet","LRMl Editor - Stefan",2023-03-01 23:17:38.397263000,"NZ_NZBC-G12AS2#3.12","outlet",2341,
"plumbing","plumbing","LRMl Editor - Stefan",2023-03-01 23:18:12.223630000,"NZ_NZBC-G12AS2#3.12","plumbing",2342,
"preHeater","preHeater","LRMl Editor - ",2023-03-01 23:36:02.360360000,"NZ_NZBC-G12AS2#3.12","pre heater",2344,
"instantaneousWaterHeater","instantaneousWaterHeater","LRMl Editor - ",2023-03-01 23:42:27.954473000,"NZ_NZBC-G12AS2#3.12","instantaneous water heater",2346,
"water","water","LRMl Editor - ",2023-03-01 23:44:19.169786000,"NZ_NZBC-G12AS2#3.12","water",2347,
"temperature","temperature","LRMl Editor - ",2023-03-01 23:44:55.590574000,"NZ_NZBC-G12AS2#3.12","temperature",2348,
"hotWaterStorageTank","hotWaterStorageTank","LRMl Editor - ",2023-03-01 23:46:39.887009000,"NZ_NZBC-G12AS2#3.12","hot water storage tank",2349,
