"KEY","CODE","DESCRIPTION","TABLE_NAME","TEXT","TITLE",
"compressedAirCylinders","Pr_60_50_33_14","","Pr Products","compressed air cylinders","Compressed air cylinders",
"compressedGasCylinders","Pr_60_50_33_15","","Pr Products","compressed gas cylinders","Compressed gas cylinders",
"highPressureFireExtinguishingGasStorageCylinders","Pr_60_50_33_37","","Pr Products","high-pressure fire-extinguishing gas storage cylinders","High-pressure fire-extinguishing gas storage cylinders",
"liquefiedGasCylinders","Pr_60_50_33_46","","Pr Products","liquefied gas cylinders","Liquefied gas cylinders",
"liquidOxygenCylinders","Pr_60_50_33_47","","Pr Products","liquid oxygen cylinders","Liquid oxygen cylinders",
"lowPressureFireExtinguishingGasStorageCylinders","Pr_60_50_33_48","","Pr Products","low-pressure fire-extinguishing gas storage cylinders","Low-pressure fire-extinguishing gas storage cylinders",
"medicalCompressedGasCylinders","Pr_60_50_33_51","","Pr Products","medical compressed gas cylinders","Medical compressed gas cylinders",
"irrigationAndWaterFeatureReservoirs","Pr_60_50_41","","Pr Products","irrigation and water feature reservoirs","Irrigation and water feature reservoirs",
"integralWaterFeatures","Pr_60_50_41_41","","Pr Products","integral water features","Integral water features",
"modularIrrigationReservoirs","Pr_60_50_41_53","","Pr Products","modular irrigation reservoirs","Modular irrigation reservoirs",
"preformedReservoirs","Pr_60_50_41_65","","Pr Products","preformed reservoirs","Preformed reservoirs",
"preformedRigidPondLiners","Pr_60_50_41_66","","Pr Products","preformed rigid pond liners","Preformed rigid pond liners",
"sealedIrrigationReservoirs","Pr_60_50_41_77","","Pr Products","sealed irrigation reservoirs","Sealed irrigation reservoirs",
"waterFeatureContainers","Pr_60_50_41_96","","Pr Products","water feature containers","Water feature containers",
"biodispersantChemicals","Pr_60_55_96_08","","Pr Products","biodispersant chemicals","Biodispersant chemicals",
"chlorinationChemicals","Pr_60_55_96_12","","Pr Products","chlorination chemicals","Chlorination chemicals",
"corrosionInhibitorChemicals","Pr_60_55_96_15","","Pr Products","corrosion inhibitor chemicals","Corrosion inhibitor chemicals",
"corrosionInhibitorChemicalsForClosedCircuits","Pr_60_55_96_16","","Pr Products","corrosion inhibitor chemicals for closed circuits","Corrosion inhibitor chemicals for closed circuits",
"deChlorinationChemicals","Pr_60_55_96_21","","Pr Products","de-chlorination chemicals","De-chlorination chemicals",
"dispersantChemicals","Pr_60_55_96_22","","Pr Products","dispersant chemicals","Dispersant chemicals",
"odourControlChemicals","Pr_60_55_96_58","","Pr Products","odour control chemicals","Odour control chemicals",
"phCorrectionChemicals","Pr_60_55_96_64","","Pr Products","ph correction chemicals","pH correction chemicals",
"scaleInhibitorChemicals","Pr_60_55_96_77","","Pr Products","scale inhibitor chemicals","Scale inhibitor chemicals",
"septicityControlChemicals","Pr_60_55_96_78","","Pr Products","septicity control chemicals","Septicity control chemicals",
"settlementCoagulants","Pr_60_55_96_79","","Pr Products","settlement coagulants","Settlement coagulants",
"waterPlumbosolvencyReductionChemicals","Pr_60_55_96_96","","Pr Products","water plumbosolvency reduction chemicals","Water plumbosolvency reduction chemicals",
"waterTreatmentProducts","Pr_60_55_97","","Pr Products","water treatment products","Water treatment products",
"alkalinityDosingUnits","Pr_60_55_97_02","","Pr Products","alkalinity dosing units","Alkalinity dosing units",
"airliftInjectors","Pr_60_55_97_04","","Pr Products","airlift injectors","Airlift injectors",
"bioaugmentationDevices","Pr_60_55_97_06","","Pr Products","bioaugmentation devices","Bioaugmentation devices",
"biocideDosingPots","Pr_60_55_97_07","","Pr Products","biocide dosing pots","Biocide dosing pots",
